x,y
1.702761383056640625e+02,2.742740821838378906e+01
1.657313995361328125e+02,2.713658714294433594e+01
2.074636840820312500e+02,3.034612464904785156e+01
1.354088897705078125e+02,2.452491188049316406e+01
1.141179809570312500e+02,2.251558113098144531e+01
1.310804748535156250e+02,2.410444641113281250e+01
1.763978271484375000e+02,2.795068168640136719e+01
2.036040344238281250e+02,3.001040649414062500e+01
1.177253875732421875e+02,2.286032295227050781e+01
9.104810333251953125e+01,2.020022773742675781e+01
1.753584442138671875e+02,2.789533042907714844e+01
1.750212402343750000e+02,2.771430969238281250e+01
1.807860260009765625e+02,2.831332206726074219e+01
2.040873413085937500e+02,3.004334068298339844e+01
1.480213623046875000e+02,2.564642524719238281e+01
1.260132598876953125e+02,2.363253211975097656e+01
1.371042633056640625e+02,2.466753005981445312e+01
1.444344940185546875e+02,2.524489974975585938e+01
1.582546691894531250e+02,2.640044975280761719e+01
1.647465515136718750e+02,2.701489639282226562e+01
1.885863952636718750e+02,2.891498756408691406e+01
1.372981719970703125e+02,2.462438201904296875e+01
1.781637573242187500e+02,2.807676506042480469e+01
1.871227874755859375e+02,2.872026252746582031e+01
1.137524719238281250e+02,2.236046028137207031e+01
1.772679748535156250e+02,2.797096824645996094e+01
1.682751312255859375e+02,2.731858062744140625e+01
1.633193359375000000e+02,2.692210388183593750e+01
2.082110137939453125e+02,3.036501502990722656e+01
2.050306854248046875e+02,3.015778732299804688e+01
1.839143981933593750e+02,2.854945373535156250e+01
1.752619934082031250e+02,2.783276557922363281e+01
1.293178863525390625e+02,2.397984504699707031e+01
1.656502380371093750e+02,2.712501525878906250e+01
1.150209121704101562e+02,2.260067367553710938e+01
9.569110870361328125e+01,2.057483100891113281e+01
1.221591186523437500e+02,2.329369354248046875e+01
1.953753662109375000e+02,2.943580627441406250e+01
1.432712554931640625e+02,2.520261192321777344e+01
1.927215270996093750e+02,2.913077545166015625e+01
1.068217391967773438e+02,2.173286437988281250e+01
1.732482299804687500e+02,2.771409034729003906e+01
1.511062622070312500e+02,2.588733291625976562e+01
1.217479705810546875e+02,2.323848342895507812e+01
9.923667144775390625e+01,2.100199508666992188e+01
1.515790557861328125e+02,2.584516334533691406e+01
2.069783935546875000e+02,3.028178405761718750e+01
1.162386398315429688e+02,2.270626068115234375e+01
9.678314971923828125e+01,2.064465713500976562e+01
9.343798065185546875e+01,2.033565330505371094e+01
1.046700134277343750e+02,2.151133346557617188e+01
2.087089538574218750e+02,3.044942474365234375e+01
1.275186920166015625e+02,2.370301055908203125e+01
9.213683319091796875e+01,2.022954559326171875e+01
2.033980102539062500e+02,3.002567481994628906e+01
1.514191131591796875e+02,2.589980888366699219e+01
1.341230316162109375e+02,2.438452720642089844e+01
2.007427368164062500e+02,2.986918067932128906e+01
1.361152343750000000e+02,2.457150268554687500e+01
2.096083068847656250e+02,3.048037528991699219e+01
1.764999084472656250e+02,2.800050544738769531e+01
1.123772430419921875e+02,2.230848503112792969e+01
2.085356750488281250e+02,3.032436561584472656e+01
1.417653503417968750e+02,2.506088066101074219e+01
9.967424774169921875e+01,2.100422859191894531e+01
1.736298828125000000e+02,2.763078689575195312e+01
1.213644561767578125e+02,2.321242523193359375e+01
1.575102691650390625e+02,2.643977737426757812e+01
2.060814514160156250e+02,3.023091506958007812e+01
1.246961288452148438e+02,2.350083732604980469e+01
1.248799667358398438e+02,2.352392578125000000e+01
1.421980285644531250e+02,2.511376190185546875e+01
1.152516174316406250e+02,2.262211608886718750e+01
1.849503173828125000e+02,2.865274429321289062e+01
1.076576080322265625e+02,2.185275840759277344e+01
9.106028747558593750e+01,2.009157180786132812e+01
1.373093414306640625e+02,2.465396690368652344e+01
1.268026199340820312e+02,2.374386596679687500e+01
9.766645050048828125e+01,2.082213401794433594e+01
2.068594970703125000e+02,3.027161216735839844e+01
1.300716247558593750e+02,2.399069404602050781e+01
1.344049072265625000e+02,2.438299369812011719e+01
1.053476257324218750e+02,2.158806800842285156e+01
1.870240783691406250e+02,2.875879287719726562e+01
1.910760192871093750e+02,2.911400222778320312e+01
1.909348907470703125e+02,2.910571861267089844e+01
1.335655517578125000e+02,2.428613662719726562e+01
1.975020751953125000e+02,2.955788993835449219e+01
1.443484039306640625e+02,2.528126525878906250e+01
9.801873779296875000e+01,2.078672981262207031e+01
1.875738372802734375e+02,2.881451225280761719e+01
1.749139404296875000e+02,2.785844993591308594e+01
1.835497741699218750e+02,2.849461555480957031e+01
1.992725524902343750e+02,2.971952438354492188e+01
1.990034484863281250e+02,2.969726562500000000e+01
1.365497436523437500e+02,2.458396530151367188e+01
1.416177978515625000e+02,2.502028465270996094e+01
1.502718811035156250e+02,2.581713867187500000e+01
1.216149291992187500e+02,2.318581008911132812e+01
1.315331878662109375e+02,2.414718437194824219e+01
1.862745056152343750e+02,2.870226860046386719e+01
1.916306457519531250e+02,2.915441513061523438e+01
1.024438323974609375e+02,2.131675338745117188e+01
1.660823516845703125e+02,2.700347900390625000e+01
1.140806427001953125e+02,2.251284408569335938e+01
1.614701232910156250e+02,2.675162124633789062e+01
1.798320312500000000e+02,2.816099739074707031e+01
1.141026077270507812e+02,2.245066833496093750e+01
9.592132568359375000e+01,2.059918975830078125e+01
1.261794967651367188e+02,2.361619758605957031e+01
1.819202880859375000e+02,2.839111328125000000e+01
1.694357452392578125e+02,2.736976242065429688e+01
1.635556945800781250e+02,2.693375587463378906e+01
1.467783050537109375e+02,2.544234466552734375e+01
9.907378387451171875e+01,2.099640274047851562e+01
2.087276306152343750e+02,3.040903663635253906e+01
1.282258148193359375e+02,2.386158370971679688e+01
1.540645751953125000e+02,2.611394691467285156e+01
1.412681427001953125e+02,2.504243469238281250e+01
9.597496032714843750e+01,2.061045074462890625e+01
1.117152252197265625e+02,2.226007270812988281e+01
1.214292144775390625e+02,2.321802520751953125e+01
1.833807983398437500e+02,2.850175666809082031e+01
1.209443435668945312e+02,2.312390708923339844e+01
1.595211181640625000e+02,2.662306213378906250e+01
1.942465209960937500e+02,2.928181838989257812e+01
1.521908569335937500e+02,2.594831466674804688e+01
1.604329681396484375e+02,2.659998703002929688e+01
1.840532379150390625e+02,2.855383682250976562e+01
1.550026550292968750e+02,2.622458839416503906e+01
1.814851837158203125e+02,2.836001014709472656e+01
2.073836975097656250e+02,3.028089904785156250e+01
1.394077758789062500e+02,2.486162567138671875e+01
9.174860382080078125e+01,2.018360900878906250e+01
1.958251342773437500e+02,2.947298049926757812e+01
1.712226104736328125e+02,2.755644989013671875e+01
1.265451049804687500e+02,2.370405578613281250e+01
1.300646362304687500e+02,2.401396560668945312e+01
1.815812835693359375e+02,2.836573982238769531e+01
9.679631042480468750e+01,2.067902755737304688e+01
