x,y
1.763978271484375000e+02,2.793767547607421875e+01
2.036040344238281250e+02,3.001991271972656250e+01
1.177253875732421875e+02,2.287595367431640625e+01
9.104810333251953125e+01,1.999543952941894531e+01
1.753584442138671875e+02,2.786443710327148438e+01
1.750212402343750000e+02,2.782155609130859375e+01
1.807860260009765625e+02,2.832898902893066406e+01
2.040873413085937500e+02,3.011739730834960938e+01
1.480213623046875000e+02,2.550807762145996094e+01
1.260132598876953125e+02,2.359981155395507812e+01
1.371042633056640625e+02,2.468323135375976562e+01
1.444344940185546875e+02,2.529391288757324219e+01
1.582546691894531250e+02,2.646498107910156250e+01
1.647465515136718750e+02,2.707023429870605469e+01
1.885863952636718750e+02,2.884641647338867188e+01
1.372981719970703125e+02,2.468770217895507812e+01
1.781637573242187500e+02,2.804142189025878906e+01
1.871227874755859375e+02,2.880352783203125000e+01
1.137524719238281250e+02,2.244872474670410156e+01
1.772679748535156250e+02,2.800578117370605469e+01
1.682751312255859375e+02,2.729205703735351562e+01
1.633193359375000000e+02,2.693009376525878906e+01
2.082110137939453125e+02,3.041619682312011719e+01
2.050306854248046875e+02,3.009448814392089844e+01
1.839143981933593750e+02,2.843117523193359375e+01
1.752619934082031250e+02,2.778710556030273438e+01
1.293178863525390625e+02,2.395232009887695312e+01
1.656502380371093750e+02,2.710383033752441406e+01
1.150209121704101562e+02,2.257744789123535156e+01
9.569110870361328125e+01,2.060223007202148438e+01
1.221591186523437500e+02,2.330234527587890625e+01
1.953753662109375000e+02,2.944303703308105469e+01
1.432712554931640625e+02,2.520346641540527344e+01
1.927215270996093750e+02,2.921868515014648438e+01
1.068217391967773438e+02,2.178408813476562500e+01
1.732482299804687500e+02,2.770651245117187500e+01
1.511062622070312500e+02,2.584907722473144531e+01
1.217479705810546875e+02,2.321568489074707031e+01
9.923667144775390625e+01,2.099256896972656250e+01
1.515790557861328125e+02,2.597323036193847656e+01
2.069783935546875000e+02,3.027220535278320312e+01
1.162386398315429688e+02,2.255608367919921875e+01
9.678314971923828125e+01,2.070981025695800781e+01
9.343798065185546875e+01,2.035006332397460938e+01
1.046700134277343750e+02,2.153023529052734375e+01
2.087089538574218750e+02,3.041292190551757812e+01
1.275186920166015625e+02,2.375629043579101562e+01
9.213683319091796875e+01,2.019043350219726562e+01
2.033980102539062500e+02,2.999324226379394531e+01
1.514191131591796875e+02,2.589852905273437500e+01
1.341230316162109375e+02,2.433679962158203125e+01
2.007427368164062500e+02,2.982498741149902344e+01
1.361152343750000000e+02,2.458856964111328125e+01
2.096083068847656250e+02,3.049570655822753906e+01
1.764999084472656250e+02,2.794415664672851562e+01
1.123772430419921875e+02,2.234883499145507812e+01
2.085356750488281250e+02,3.034330368041992188e+01
1.417653503417968750e+02,2.507586860656738281e+01
9.967424774169921875e+01,2.100354385375976562e+01
1.736298828125000000e+02,2.777128410339355469e+01
1.213644561767578125e+02,2.321505737304687500e+01
1.575102691650390625e+02,2.641440010070800781e+01
2.060814514160156250e+02,3.021297836303710938e+01
1.246961288452148438e+02,2.354572486877441406e+01
1.248799667358398438e+02,2.352717208862304688e+01
1.421980285644531250e+02,2.512982749938964844e+01
1.152516174316406250e+02,2.260311889648437500e+01
1.849503173828125000e+02,2.862079429626464844e+01
1.076576080322265625e+02,2.186298370361328125e+01
9.106028747558593750e+01,2.007517242431640625e+01
1.373093414306640625e+02,2.463565063476562500e+01
1.268026199340820312e+02,2.362764739990234375e+01
9.766645050048828125e+01,2.080317115783691406e+01
2.068594970703125000e+02,3.024958038330078125e+01
1.300716247558593750e+02,2.395858001708984375e+01
1.344049072265625000e+02,2.441654014587402344e+01
1.053476257324218750e+02,2.151450347900390625e+01
1.870240783691406250e+02,2.870128822326660156e+01
1.910760192871093750e+02,2.909757423400878906e+01
1.909348907470703125e+02,2.909699440002441406e+01
1.335655517578125000e+02,2.436542129516601562e+01
1.975020751953125000e+02,2.960654449462890625e+01
1.443484039306640625e+02,2.533187484741210938e+01
9.801873779296875000e+01,2.088692092895507812e+01
1.875738372802734375e+02,2.880167579650878906e+01
1.749139404296875000e+02,2.782944297790527344e+01
1.835497741699218750e+02,2.855296897888183594e+01
1.992725524902343750e+02,2.972906875610351562e+01
1.990034484863281250e+02,2.966001319885253906e+01
1.365497436523437500e+02,2.454941177368164062e+01
1.416177978515625000e+02,2.501513290405273438e+01
1.502718811035156250e+02,2.578901481628417969e+01
1.216149291992187500e+02,2.318028450012207031e+01
1.315331878662109375e+02,2.417835617065429688e+01
1.862745056152343750e+02,2.877079963684082031e+01
1.916306457519531250e+02,2.911982536315917969e+01
1.024438323974609375e+02,2.131095886230468750e+01
1.660823516845703125e+02,2.717268371582031250e+01
1.140806427001953125e+02,2.238715934753417969e+01
1.614701232910156250e+02,2.673677444458007812e+01
1.798320312500000000e+02,2.818608474731445312e+01
1.141026077270507812e+02,2.253245544433593750e+01
9.592132568359375000e+01,2.062488365173339844e+01
1.261794967651367188e+02,2.363417816162109375e+01
1.819202880859375000e+02,2.837299346923828125e+01
1.694357452392578125e+02,2.742019653320312500e+01
1.635556945800781250e+02,2.695785903930664062e+01
1.467783050537109375e+02,2.546595382690429688e+01
9.907378387451171875e+01,2.097886848449707031e+01
2.087276306152343750e+02,3.046529769897460938e+01
1.282258148193359375e+02,2.380527877807617188e+01
1.540645751953125000e+02,2.616001701354980469e+01
1.412681427001953125e+02,2.498457336425781250e+01
9.597496032714843750e+01,2.058452606201171875e+01
1.117152252197265625e+02,2.224175262451171875e+01
1.214292144775390625e+02,2.314693069458007812e+01
1.833807983398437500e+02,2.854110336303710938e+01
1.209443435668945312e+02,2.313246917724609375e+01
1.595211181640625000e+02,2.657333183288574219e+01
1.942465209960937500e+02,2.922912979125976562e+01
1.521908569335937500e+02,2.593954086303710938e+01
1.604329681396484375e+02,2.662786293029785156e+01
1.840532379150390625e+02,2.851763725280761719e+01
1.550026550292968750e+02,2.620862007141113281e+01
1.814851837158203125e+02,2.828297233581542969e+01
2.073836975097656250e+02,3.023830032348632812e+01
1.394077758789062500e+02,2.487447547912597656e+01
9.174860382080078125e+01,2.017632293701171875e+01
1.958251342773437500e+02,2.941615676879882812e+01
1.712226104736328125e+02,2.747014427185058594e+01
1.265451049804687500e+02,2.366465759277343750e+01
1.300646362304687500e+02,2.402648353576660156e+01
1.815812835693359375e+02,2.832734298706054688e+01
9.679631042480468750e+01,2.073492813110351562e+01
1.391666564941406250e+02,2.485778999328613281e+01
1.401217956542968750e+02,2.494209098815917969e+01
1.731974487304687500e+02,2.771777153015136719e+01
9.287240600585937500e+01,2.024844932556152344e+01
1.886439666748046875e+02,2.891932296752929688e+01
1.785235443115234375e+02,2.813233375549316406e+01
1.211114654541015625e+02,2.312499237060546875e+01
1.903995056152343750e+02,2.906527137756347656e+01
1.656572875976562500e+02,2.709566307067871094e+01
1.260984878540039062e+02,2.365267181396484375e+01
1.025640716552734375e+02,2.132889747619628906e+01
1.250253753662109375e+02,2.353040504455566406e+01
1.372316894531250000e+02,2.469375038146972656e+01
2.036666870117187500e+02,2.995576858520507812e+01
9.761827087402343750e+01,2.079097175598144531e+01
2.081618041992187500e+02,3.035787200927734375e+01
1.985337219238281250e+02,2.962179946899414062e+01
